clave_edo,edo,edo_acentos,edon,clave_inegi,clave_ife,mun,mun_acentos,POBTOT,P_15YMAS,P15YM_AN,P15YM_SE,POCUPADA,PDER_SS,solicitudes.mu,total_personal,pobreza,vul_car,di.urb,mean.rwi
1,Aguascalientes,Aguascalientes,ags,1001,1001,Aguascalientes,Aguascalientes,942696,702628,11615,14561,473340,769637,1151,8002,30.2,27,2.0631,0.279
1,Aguascalientes,Aguascalientes,ags,1002,1002,Asientos,Asientos,51601,35290,1244,1225,21043,43985,65,427,65.5,22.4,2.6025,0.212
1,Aguascalientes,Aguascalientes,ags,1003,1003,Calvillo,Calvillo,58340,41557,1862,2115,25659,46413,77,775,68.4,22.8,4.0705,0.012
1,Aguascalientes,Aguascalientes,ags,1004,1004,Cosio,Cosío,16984,11805,372,358,6875,14639,81,297,54.2,28.5,1.8798,0.212
1,Aguascalientes,Aguascalientes,ags,1005,1005,Jesus Maria,Jesús María,134795,95345,2164,2572,67371,106024,161,1186,42.4,28.4,10.5662,0.214
1,Aguascalientes,Aguascalientes,ags,1006,1006,Pabellon de Arteaga,Pabellón de Arteaga,46674,32826,884,999,21261,37929,60,659,51.1,22.8,0.4376,0.449
1,Aguascalientes,Aguascalientes,ags,1007,1007,Rincon de Romos,Rincón de Romos,57358,39499,1359,1336,26236,45797,80,521,51.2,25.5,1.1771,0.313
1,Aguascalientes,Aguascalientes,ags,1008,1008,San Jose de Gracia,San José de Gracia,9557,6521,159,101,3769,8305,75,421,65.8,17.2,11.6252,0.014
1,Aguascalientes,Aguascalientes,ags,1009,1009,Tepezala,Tepezalá,22636,15675,662,531,8975,19182,57,408,65.8,22.8,0.4466,0.21
1,Aguascalientes,Aguascalientes,ags,1011,1010,San Francisco de los Romo,San Francisco de los Romo,64147,43173,1021,1154,29947,52969,135,672,42.2,24,5.0865,0.291
1,Aguascalientes,Aguascalientes,ags,1010,1011,El Llano,El Llano,20819,14585,566,615,8507,16259,61,316,66.2,22.5,7.7463,0.053
2,Baja California,Baja California,bc,2001,2001,Ensenada,Ensenada,561375,421072,14351,20459,287039,450200,486,3090,34.6,37.8,120.5337,0.073
2,Baja California,Baja California,bc,2002,2002,Mexicali,Mexicali,1049792,814661,13128,21999,540829,854627,467,5847,30,34.7,42.9269,0.297
2,Baja California,Baja California,bc,2003,2003,Tecate,Tecate,108436,82541,1586,2746,52092,83697,108,1146,29.6,37.6,8.6363,0.12
2,Baja California,Baja California,bc,2004,2004,Tijuana,Tijuana,1922584,1467327,21471,39577,1038486,1426561,1181,10584,31.1,39.5,6.014,0.617
2,Baja California,Baja California,bc,2005,2005,Playas de Rosarito,Playas de Rosarito,126833,96890,1954,3783,66010,90174,266,1072,41.6,42.7,3.4047,0.32
3,Baja California Sur,Baja California Sur,bcs,3001,3001,Comondu,Comondú,72997,55144,2243,3506,35375,64354,84,1906,42.8,32.8,26.8473,-0.013
3,Baja California Sur,Baja California Sur,bcs,3002,3002,Mulege,Mulegé,64148,47029,1957,2861,32740,54347,29,1777,39.7,31.3,48.8065,-0.002
3,Baja California Sur,Baja California Sur,bcs,3003,3003,La Paz,La Paz,292248,227141,4043,5055,152263,249599,218,3028,25.5,27.9,21.9209,0.148
3,Baja California Sur,Baja California Sur,bcs,3008,3004,Los Cabos,Los Cabos,351100,254828,5390,7274,191247,280242,278,3413,30.1,38.4,13.8671,0.33
3,Baja California Sur,Baja California Sur,bcs,3009,3005,Loreto,Loreto,17954,13410,293,428,8900,15580,191,931,41.2,30.3,11.1931,0.036
4,Campeche,Campeche,cam,4002,4001,Campeche,Campeche,294635,226786,7514,9081,147362,236540,326,2334,33.9,24.5,30.6487,-0.002
4,Campeche,Campeche,cam,4001,4002,Calkini,Calkiní,42614,31689,2483,1983,21811,34967,50,801,62.6,19,7.7069,-0.038
4,Campeche,Campeche,cam,4003,4003,Carmen,Carmen,248624,184290,7210,9030,122557,186913,299,3166,38.4,31.4,32.3739,-0.135
4,Campeche,Campeche,cam,4004,4004,Champoton,Champotón,77947,55612,4889,5465,37270,59103,86,1084,63.6,23.1,0.379,-0.239
4,Campeche,Campeche,cam,4005,4005,Hecelchakan,Hecelchakán,32291,23542,1973,2446,15240,24959,39,695,64.7,21.2,2.4954,-0.077
4,Campeche,Campeche,cam,4006,4006,Hopelchen,Hopelchén,41724,28786,2393,4699,19843,32470,78,559,79.1,15.7,9.2738,-0.263
4,Campeche,Campeche,cam,4007,4007,Palizada,Palizada,8905,6395,504,544,4035,7578,50,847,61.5,27.6,14.2142,-0.278
4,Campeche,Campeche,cam,4008,4008,Tenabo,Tenabo,11038,8145,726,639,5635,9169,43,424,67,24,7.6118,0.285
4,Campeche,Campeche,cam,4009,4009,Escarcega,Escárcega,60808,42401,3804,4305,29136,46851,71,757,71.2,22.2,23.5827,-0.264
4,Campeche,Campeche,cam,4011,4010,Candelaria,Candelaria,46115,31285,3518,3961,23219,31216,76,597,69.6,26.6,36.5412,-0.363
