clave_inegi,edo,mun,info_recibidas,proteccion_recibidas,ne_recibidas,info_resp,proteccion_resp,ne_resp,info_tram,proteccion_tram,ne_tram,total_personal,conf_h,conf_m,conf_ne,base_h,base_m,base_ne,eventual_h,eventual_m,eventual_ne,hon_h,hon_m,otro_h,otro_m,pne_h,pne_m,pne_ne
1001,Aguascalientes,Aguascalientes,1151,0,0,1151,0,0,0,0,0,8002,229,125,0,3167,1046,0,1859,1310,0,130,136,0,0,0,0,0
1002,Aguascalientes,Asientos,65,0,0,65,0,0,0,0,0,427,227,108,0,40,38,0,0,0,0,14,0,0,0,0,0,0
1003,Aguascalientes,Calvillo,77,0,0,77,0,0,0,0,0,775,379,161,0,162,73,0,0,0,0,0,0,0,0,0,0,0
1004,Aguascalientes,Cosío,81,0,0,81,0,0,0,0,0,297,164,101,0,20,12,0,0,0,0,0,0,0,0,0,0,0
1005,Aguascalientes,Jesús María,153,8,0,149,8,0,4,0,0,1186,572,385,0,75,51,0,0,0,0,69,34,0,0,0,0,0
1006,Aguascalientes,Pabellón de Arteaga,60,0,0,59,0,0,1,0,0,659,296,199,0,22,10,0,17,1,0,7,2,74,31,0,0,0
1007,Aguascalientes,Rincón de Romos,77,3,0,77,0,0,0,3,0,521,195,123,0,123,80,0,0,0,0,0,0,0,0,0,0,0
1008,Aguascalientes,San José de Gracia,75,0,0,72,0,0,3,0,0,421,79,41,0,90,56,0,79,76,0,0,0,0,0,0,0,0
1009,Aguascalientes,Tepezalá,55,2,0,55,2,0,0,0,0,408,178,147,0,27,56,0,0,0,0,0,0,0,0,0,0,0
1010,Aguascalientes,El Llano,61,0,0,61,0,0,0,0,0,316,8,1,0,75,44,0,71,117,0,0,0,0,0,0,0,0
1011,Aguascalientes,San Francisco de los Romo,133,2,0,133,2,0,0,0,0,672,252,166,0,67,17,0,106,64,0,0,0,0,0,0,0,0
2001,Baja California,Ensenada,486,0,0,486,0,0,0,0,0,3090,1353,365,0,857,280,0,0,0,0,151,84,0,0,0,0,0
2002,Baja California,Mexicali,465,2,0,465,2,0,29,0,0,5847,247,136,0,2125,841,0,422,160,0,0,0,1381,535,0,0,0
2003,Baja California,Tecate,108,0,0,108,0,0,0,0,0,1146,162,107,0,321,165,0,112,58,0,0,0,171,50,0,0,0
2004,Baja California,Tijuana,1087,94,0,1082,94,0,5,0,0,10584,1698,971,0,2183,920,0,568,189,0,470,359,2788,438,0,0,0
2005,Baja California,Playas de Rosarito,266,0,0,250,0,0,16,0,0,1072,233,256,0,141,54,0,-,-,-,56,42,263,27,0,0,0
3001,Baja California Sur,Comondú,84,0,0,73,0,0,3,0,0,1906,695,342,0,510,353,0,5,1,0,0,0,0,0,0,0,0
3002,Baja California Sur,Mulegé,29,0,0,18,0,0,11,0,0,1777,721,528,0,290,228,0,4,6,0,0,0,0,0,0,0,0
3003,Baja California Sur,La Paz,214,4,0,214,4,0,21,2,0,3028,1304,511,0,752,418,0,11,9,0,0,0,17,6,0,0,0
3008,Baja California Sur,Los Cabos,278,0,0,236,0,0,42,0,0,3413,620,120,0,543,315,0,0,0,0,0,0,1342,473,0,0,0
3009,Baja California Sur,Loreto,189,2,0,181,2,0,1,0,0,931,152,110,0,175,96,0,167,133,0,0,0,81,17,0,0,0
4001,Campeche,Calkiní,50,0,0,50,0,0,0,0,0,801,273,160,0,103,81,0,91,93,0,0,0,0,0,0,0,0
4002,Campeche,Campeche,320,6,0,295,6,0,25,0,0,2334,321,199,0,1058,510,0,176,70,0,0,0,0,0,0,0,0
4003,Campeche,Carmen,297,2,0,291,2,0,6,0,0,3166,605,474,0,1204,673,0,210,0,0,0,0,0,0,0,0,0
4004,Campeche,Champotón,86,0,0,85,0,0,1,0,0,1084,156,117,0,241,165,0,235,170,0,0,0,0,0,0,0,0
4005,Campeche,Hecelchakán,39,0,0,38,0,0,1,0,0,695,39,27,0,119,88,0,230,192,0,0,0,0,0,0,0,0
4006,Campeche,Hopelchén,78,0,0,77,0,0,1,0,0,559,43,9,0,34,34,0,286,153,0,0,0,0,0,0,0,0
4007,Campeche,Palizada,50,0,0,50,0,0,0,0,0,847,406,293,0,75,73,0,0,0,0,0,0,0,0,0,0,0
4008,Campeche,Tenabo,43,0,0,43,0,0,0,0,0,424,39,51,0,100,55,0,125,54,0,0,0,0,0,0,0,0
4009,Campeche,Escárcega,71,0,0,71,0,0,0,0,0,757,0,0,0,491,218,0,26,22,0,0,0,0,0,0,0,0
