edo,clave_inegi,mun,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob
Aguascalientes,1001,Aguascalientes,801807,30.2,242317,2.2,17308,28.1,225009,27.0,216099,9.0,71983,33.8,271408,14.8,118779,21.9,175394,41.6,333652,4.6,36854,3.4,27587,15.6,124906,57.2,458416,9.4,75360,39.2,314300,9.9,79703
Aguascalientes,1002,Asientos,48358,65.5,31694,8.5,4134,57.0,27560,22.4,10809,5.3,2553,6.8,3302,22.6,10953,13.8,6655,75.5,36487,11.1,5365,11.3,5488,31.5,15249,87.9,42503,18.4,8918,70.8,34247,33.8,16326
Aguascalientes,1003,Calvillo,57627,68.4,39419,7.6,4377,60.8,35041,22.8,13126,3.5,2010,5.3,3072,28.3,16282,18.3,10535,82.5,47557,9.8,5658,8.3,4807,19.3,11134,91.2,52545,16.7,9605,71.9,41428,33.9,19519
Aguascalientes,1004,Cosío,14929,54.2,8091,5.3,792,48.9,7299,28.5,4250,5.7,858,11.6,1730,20.9,3127,11.9,1772,70.2,10487,12.8,1916,6.6,986,30.5,4553,82.7,12341,17.3,2579,59.9,8950,22.3,3331
Aguascalientes,1005,Jesús María,102211,42.4,43315,5.1,5252,37.2,38062,28.4,28999,7.4,7574,21.8,22324,20.7,21161,13.3,13604,54.2,55351,13.2,13453,5.5,5606,27.4,28023,70.7,72313,16.6,16924,49.8,50888,16.9,17287
Aguascalientes,1006,Pabellón de Arteaga,40659,51.1,20759,5.8,2355,45.3,18404,22.8,9270,7.9,3193,18.3,7437,19.4,7868,17.2,6992,54.3,22079,8.5,3462,6.4,2608,34.0,13824,73.9,30029,17.4,7057,58.9,23952,20.8,8474
Aguascalientes,1007,Rincón de Romos,48526,51.2,24831,9.1,4413,42.1,20418,25.5,12361,5.3,2585,18.0,8749,20.8,10089,18.0,8727,64.8,31450,13.5,6558,7.1,3441,40.4,19622,76.6,37192,24.8,12012,56.5,27416,21.6,10497
Aguascalientes,1008,San José de Gracia,7160,65.8,4709,12.7,911,53.0,3798,17.2,1234,4.9,354,12.1,863,19.1,1370,9.4,676,76.7,5490,10.1,724,13.9,998,32.1,2300,83.0,5943,20.5,1470,70.7,5063,37.6,2690
Aguascalientes,1009,Tepezalá,20668,65.8,13595,9.0,1851,56.8,11744,22.8,4708,5.7,1183,5.7,1182,21.7,4486,10.1,2078,73.8,15253,12.9,2660,9.9,2047,35.8,7390,88.6,18303,18.0,3722,71.5,14778,33.3,6887
Aguascalientes,1010,El Llano,18362,66.2,12157,12.6,2317,53.6,9841,22.5,4123,4.0,739,7.3,1343,26.6,4893,14.2,2602,75.4,13836,12.0,2203,13.6,2494,41.4,7601,88.7,16281,25.3,4649,70.2,12896,34.4,6316
