clave_ife,edon,tri,lon,lat,di.urb,di.ffcc,di.road,di.pyram,mean.alt,sd.alt,med.alt,mean.rwi,sd.rwi,med.rwi,area
1001,1,190.5,-102.3024705,21.80947303,2.0631,2.8,0.8,102.3,1926,77,1923,0.279,0.517,0.192,1421.8
1002,1,204,-102.0491281,22.11919264,2.6025,1.8,0.2,101.5,2059,75,2048,0.212,0.378,0.192,719.4
1003,1,409.3,-102.7094797,21.90489398,4.0705,47,0.9,148.7,2030,273,2029,0.012,0.455,-0.083,1087.4
1004,1,243,-102.3199987,22.35519187,1.8798,4.2,2.8,142.8,2088,117,2043,0.212,0.384,0.265,213.9
1005,1,316.8,-102.45164,21.93792007,10.5662,18.5,3.4,123.9,2063,160,2022,0.214,0.529,0.181,657.2
1006,1,221.5,-102.3047847,22.1030431,0.4376,3.5,0.7,120.8,1983,103,1942,0.449,0.366,0.391,207.4
1007,1,227.3,-102.3426761,22.26130381,1.1771,7,0.4,136.5,2063,137,2002,0.313,0.41,0.286,417.3
1008,1,355.4,-102.5271708,22.15461989,11.6252,27.9,1.1,144.4,2350,215,2338,0.014,0.352,-0.023,919.7
1009,1,232.9,-102.188941,22.23568583,0.4466,10,0,122.3,2050,113,2008,0.21,0.371,0.268,276.3
1010,1,185.1,-102.2321455,22.02952318,5.0865,2.4,2.5,108.9,1949,45,1946,0.291,0.355,0.34,156.1
1011,1,181,-102.0422368,21.91095172,7.7463,18.1,0.4,83.5,2049,76,2029,0.053,0.341,0.076,530.3
2001,2,340.6,-114.9427624,30.04607245,120.5337,225.8,16.2,1621.8,580,444,492,0.073,0.504,0.03,72297.4
2002,2,203.3,-115.2885217,31.9092715,42.9269,49.8,9.7,1822,232,331,49,0.297,0.442,0.252,20216.3
2003,2,329.6,-116.2902295,32.43560449,8.6363,32.6,7.3,1948.3,951,347,980,0.12,0.463,0.077,4024
2004,2,376.2,-116.8455031,32.4113299,6.014,5.5,3.7,1988.7,347,201,302,0.617,0.475,0.71,1522.7
2005,2,358.3,-116.8900298,32.25220367,3.4047,25.3,4.2,1977.3,246,144,245,0.32,0.504,0.395,713.5
3001,3,215.2,-111.7766723,25.49212377,26.8473,290.2,11.2,987.8,179,183,99,-0.013,0.526,-0.129,20724.9
3002,3,262.8,-113.2121085,27.27274769,48.8065,275.8,2.6,1246.4,251,260,162,-0.002,0.418,-0.043,40205.9
3003,3,270.8,-110.627067,24.17211434,21.9209,248.1,7,794.9,254,260,174,0.148,0.507,0.067,18570.9
3004,3,363.5,-109.7439623,23.27130196,13.8671,291.6,1.6,658.2,336,298,239,0.33,0.578,0.336,4307.4
3005,3,430.8,-111.4555376,25.95846462,11.1931,229.4,2.4,991.6,365,236,348,0.036,0.479,-0.162,5580.8
4001,4,146.7,-90.24683949,19.58555757,30.6487,13.6,2.1,2.3,91,59,70,-0.002,0.522,-0.146,4329.5
4002,4,42.5,-90.22444439,20.42217735,7.7069,20.1,1.5,34.4,14,16,7,-0.038,0.427,-0.118,2228
4003,4,43.8,-91.4938896,18.50570999,32.3739,61.9,22,85.9,12,14,5,-0.135,0.45,-0.192,7961.7
4004,4,128.2,-90.52081438,19.10412094,0.379,1,0.5,66.6,56,42,46,-0.239,0.375,-0.344,7019.2
4005,4,99.3,-90.14594894,20.12203969,2.4954,4.2,2.8,15.1,49,36,53,-0.077,0.451,-0.106,1615.8
4006,4,109.1,-89.62210879,19.48990027,9.2738,81.7,5,10.9,134,36,131,-0.263,0.408,-0.318,8191.6
4007,4,33.1,-91.95542784,18.23757931,14.2142,73,5.5,88.7,7,7,4,-0.278,0.283,-0.378,2108
4008,4,105.1,-90.25674392,19.96689242,7.6118,5.4,1.7,16.6,35,21,38,0.285,0.277,0.168,1128.8
4009,4,124.9,-90.510332,18.56508403,23.5827,24.2,0.8,62.9,87,28,84,-0.264,0.343,-0.316,4869.4
4010,4,103.7,-90.7153677,18.09850654,36.5412,30.5,0.2,13.8,71,33,62,-0.363,0.315,-0.411,6400
4011,4,147.6,-89.67236279,18.39939678,32.328,118.5,14.4,20.2,211,57,215,-0.204,0.3,-0.198,16010.8
4012,4,132.9,-89.96836232,20.23931582,12.4754,13.5,3.8,9.3,56,21,50,0.326,0.309,0.445,418.1
4013,4,194.4,-90.63848068,19.60422366,5.4082,6.6,2.2,45.4,39,27,36,0.276,0.593,0.078,322.4
5001,5,177.8,-101.2659658,27.1167887,18.9172,3.7,1.2,492.6,499,189,442,0.002,0.141,0.027,778.5
5002,5,267.5,-101.9909393,29.43224038,105.7303,114.8,75.4,791.6,813,373,732,0.411,0.546,0.34,14900.2
5003,5,125.7,-100.9031279,28.29929556,5.5168,3.2,0.9,613.9,423,44,425,0.212,0.578,0.214,268
5004,5,590,-100.6450108,25.33994454,20.5919,39.9,3,269,2347,370,2298,-0.024,0.413,-0.146,2053.7
5005,5,339.3,-100.8056957,26.85922483,14.5949,33.3,10.5,441.1,680,244,653,-0.16,0.453,-0.302,2714.6
5006,5,329.6,-101.3922661,26.59203858,20.8787,7,4.4,443.6,1105,261,1030,0.039,0.484,-0.093,3717.7
5007,5,364.6,-102.2142376,26.73922065,33.5945,24.3,6.6,513.9,1265,370,1216,-0.229,0.414,-0.345,12129.1
5008,5,265.9,-101.2473685,27.29147276,19.0675,0.1,1.9,511.1,514,147,461,0.032,0.29,0.03,1466.5
5009,5,262.6,-103.1937455,26.38376634,42.5995,67.8,15.8,563.4,1274,231,1174,0.111,0.445,-0.065,4395.4
5010,5,198.3,-101.534552,26.92169703,6.2478,6.8,0.2,486.7,663,132,624,0.418,0.487,0.589,576.1
5011,5,258.3,-101.5466326,25.53823622,20.0103,16.5,4.5,355.3,1437,311,1349,-0.239,0.396,-0.279,3505.3
5012,5,108.9,-100.4124464,28.12884888,21.4812,53.3,15.7,578.1,269,54,263,0.054,0.521,-0.008,3229.6
5013,5,101.8,-100.1130143,27.84674213,26.0504,62.4,18.8,536.2,213,34,206,0.394,0.004,0.394,2063.5
5014,5,118.9,-100.9930239,29.03115774,8.9013,9.9,4.8,705.5,356,56,356,-0.123,0.386,-0.167,3396
5015,5,101.4,-100.6696794,27.62542194,5.9725,55.5,3.6,525.1,293,46,283,-0.073,0.313,-0.078,3056.8
5016,5,502.5,-101.906278,27.15975793,16.8636,18.2,17.3,534.4,1318,375,1330,-0.28,0.457,-0.28,714.3
